codbalance;description1;description2;description3;description4;id;level1;level2;level3;level4;nature;subtype
P-A-1-V-2;A) PATRIMONIO NETO;A-1) Fondos propios.;V. Resultados de ejercicios anteriores.;2. (Resultados negativos de ejercicios anteriores).;140;A;1;V;2;P;abbreviated
P-A-1-VI-;A) PATRIMONIO NETO;A-1) Fondos propios.;VI. Otras aportaciones de socios.;;141;A;1;VI;;P;normal
P-A-1-VI-;A) PATRIMONIO NETO;A-1) Fondos propios.;VI. Otras aportaciones de socios.;;142;A;1;VI;;P;abbreviated
P-A-1-VII-;A) PATRIMONIO NETO;A-1) Fondos propios.;VII. Resultado del ejercicio.;;143;A;1;VII;;P;normal
P-A-1-VII-;A) PATRIMONIO NETO;A-1) Fondos propios.;VII. Resultado del ejercicio.;;144;A;1;VII;;P;abbreviated
P-A-1-VIII-;A) PATRIMONIO NETO;A-1) Fondos propios.;VIII. (Dividendo a cuenta).;;145;A;1;VIII;;P;normal
P-A-1-VIII-;A) PATRIMONIO NETO;A-1) Fondos propios.;VIII. (Dividendo a cuenta).;;146;A;1;VIII;;P;abbreviated
P-A-2-I-;A) PATRIMONIO NETO;A-2) Ajustes por cambios de valor.;I. Activos financieros disponibles para la venta;;147;A;2;I;;P;normal
P-A-2-I-;A) PATRIMONIO NETO;A-2) Ajustes por cambios de valor.;I. Activos financieros disponibles para la venta;;148;A;2;I;;P;abbreviated
P-A-2-II-;A) PATRIMONIO NETO;A-2) Ajustes por cambios de valor.;II. Operaciones de cobertura.;;149;A;2;II;;P;normal
P-A-2-II-;A) PATRIMONIO NETO;A-2) Ajustes por cambios de valor.;II. Operaciones de cobertura.;;150;A;2;II;;P;abbreviated
P-A-2-III-;A) PATRIMONIO NETO;A-2) Ajustes por cambios de valor.;III. Otros.;;151;A;2;III;;P;normal
P-A-2-III-;A) PATRIMONIO NETO;A-2) Ajustes por cambios de valor.;III. Otros.;;152;A;2;III;;P;abbreviated
P-A-3--;A) PATRIMONIO NETO;A-3) Subvenciones, donaciones y legados recibidos.;;;153;A;3;;;P;normal
P-A-3--;A) PATRIMONIO NETO;A-3) Subvenciones, donaciones y legados recibidos.;;;154;A;3;;;P;abbreviated
P-B--I-1;B) PASIVO NO CORRIENTE;;I. Provisiones a largo plazo.;1. Obligaciones por prestaciones a largo plazo al personal.;155;B;0;I;1;P;normal
P-B--I-1;B) PASIVO NO CORRIENTE;;I. Provisiones a largo plazo.;1. Obligaciones por prestaciones a largo plazo al personal.;156;B;0;I;1;P;abbreviated
P-B--I-2;B) PASIVO NO CORRIENTE;;I. Provisiones a largo plazo.;2. Actuaciones medioambientales.;157;B;0;I;2;P;normal
P-B--I-2;B) PASIVO NO CORRIENTE;;I. Provisiones a largo plazo.;2. Actuaciones medioambientales.;158;B;0;I;2;P;abbreviated
P-B--I-3;B) PASIVO NO CORRIENTE;;I. Provisiones a largo plazo.;3. Provisiones por reestructuración.;159;B;0;I;3;P;normal
P-B--I-3;B) PASIVO NO CORRIENTE;;I. Provisiones a largo plazo.;3. Provisiones por reestructuración.;160;B;0;I;3;P;abbreviated
P-B--I-4;B) PASIVO NO CORRIENTE;;I. Provisiones a largo plazo.;4. Otras provisiones.;161;B;0;I;4;P;normal
P-B--I-4;B) PASIVO NO CORRIENTE;;I. Provisiones a largo plazo.;4. Otras provisiones.;162;B;0;I;4;P;abbreviated
P-B--II-1;B) PASIVO NO CORRIENTE;;II. Deudas a largo plazo.;1. Obligaciones y otros valores negociables.;163;B;0;II;1;P;normal
P-B--II-1;B) PASIVO NO CORRIENTE;;II. Deudas a largo plazo.;1. Obligaciones y otros valores negociables.;164;B;0;II;1;P;abbreviated
P-B--II-2;B) PASIVO NO CORRIENTE;;II. Deudas a largo plazo.;2. Deudas con entidades de crédito.;165;B;0;II;2;P;normal
P-B--II-2;B) PASIVO NO CORRIENTE;;II. Deudas a largo plazo.;2. Deudas con entidades de crédito.;166;B;0;II;2;P;abbreviated
P-B--II-3;B) PASIVO NO CORRIENTE;;II. Deudas a largo plazo.;3. Acreedores por arrendamiento financiero.;167;B;0;II;3;P;normal
P-B--II-3;B) PASIVO NO CORRIENTE;;II. Deudas a largo plazo.;3. Acreedores por arrendamiento financiero.;168;B;0;II;3;P;abbreviated
P-B--II-4;B) PASIVO NO CORRIENTE;;II. Deudas a largo plazo.;4. Derivados.;169;B;0;II;4;P;normal
P-B--II-4;B) PASIVO NO CORRIENTE;;II. Deudas a largo plazo.;4. Derivados.;170;B;0;II;4;P;abbreviated
P-B--II-5;B) PASIVO NO CORRIENTE;;II. Deudas a largo plazo.;5. Otros pasivos financieros.;171;B;0;II;5;P;normal
P-B--II-5;B) PASIVO NO CORRIENTE;;II. Deudas a largo plazo.;5. Otros pasivos financieros.;172;B;0;II;5;P;abbreviated
P-B--III-;B) PASIVO NO CORRIENTE;;III. Deudas con empresas del grupo y asociadas a largo plazo.;;173;B;0;III;;P;normal
P-B--III-;B) PASIVO NO CORRIENTE;;III. Deudas con empresas del grupo y asociadas a largo plazo.;;174;B;0;III;;P;abbreviated
P-B--IV-;B) PASIVO NO CORRIENTE;;IV. Pasivos por impuesto diferido.;;175;B;0;IV;;P;normal
P-B--IV-;B) PASIVO NO CORRIENTE;;IV. Pasivos por impuesto diferido.;;176;B;0;IV;;P;abbreviated
P-B--V-;B) PASIVO NO CORRIENTE;;V. Periodificaciones a largo plazo.;;177;B;0;V;;P;normal
P-B--V-;B) PASIVO NO CORRIENTE;;V. Periodificaciones a largo plazo.;;178;B;0;V;;P;abbreviated
P-C--I-;C) PASIVO CORRIENTE;;I. Pasivos vinculados con activos no corrientes mantenidos para la venta;;179;C;0;I;;P;normal
P-C--I-;C) PASIVO CORRIENTE;;I. Pasivos vinculados con activos no corrientes mantenidos para la venta;;180;C;0;I;;P;abbreviated
P-C--II-;C) PASIVO CORRIENTE;;II. Provisiones a corto plazo.;;181;C;0;II;;P;normal
P-C--II-;C) PASIVO CORRIENTE;;II. Provisiones a corto plazo.;;182;C;0;II;;P;abbreviated
P-C--III-1;C) PASIVO CORRIENTE;;III. Deudas a corto plazo.;1. Obligaciones y otros valores negociables.;183;C;0;III;1;P;normal
P-C--III-1;C) PASIVO CORRIENTE;;III. Deudas a corto plazo.;1. Obligaciones y otros valores negociables.;184;C;0;III;1;P;abbreviated
P-C--III-2;C) PASIVO CORRIENTE;;III. Deudas a corto plazo.;2. Deudas con entidades de crédito.;185;C;0;III;2;P;normal
P-C--III-2;C) PASIVO CORRIENTE;;III. Deudas a corto plazo.;2. Deudas con entidades de crédito.;186;C;0;III;2;P;abbreviated
P-C--III-3;C) PASIVO CORRIENTE;;III. Deudas a corto plazo.;3. Acreedores por arrendamiento financiero.;187;C;0;III;3;P;normal
